c29,NAIL ART RUN GAME - ALL DESIGNS,,,,,,,,,,,,,S1:,Oval
,N-205,,C44,P106,,,,,,,,,,,
,N-206,,C44,P107,,,,,,,,,,,
,N-207,,C44,,,,,,,,,,,,
,N-208,,C45,P109,,,,,,,,,,,
,N-209,,C45,P110,,,,,,,,,,,
,N-210,,C46,P111,,,,,,,,,,,
,N-211,,C45,P112,,,,,,,,,,,
,N-212,,C46,,,,,,,,,,,,
,N-213,,C47,P114,,,,,,,,,,,
,N-214,,C48,P115,,,,,,,,,,,
,N-215,,C47,P116,,,,,,,,,,,
,N-216,,C47,P117,,,,,,,,,,,
,N-217,,C47,P118,,,,,,,,,,,
,N-218,,C50,P119,,,,,,,,,,,
,N-219,,C49,P120,,,,,,,,,,,
,N-220,,C49,P121,,,,,,,,,,,
,N-221,,C49,P122,,,,,,,,,,,
,N-222,,C52,P123,,,,,,,,,,,
,N-223,,C51,P124,,,,,,,,,,,
,N-224,,C52,P125,,,,,,,,,,,
,N-225,,C51,P126,,,,,,,,,,,
,N-226,,C53,P127,,,,,,,,,,,
,N-227,,C53,P128,,,,,,,,,,,
,N-228,,C53,P129,,,,,,,,,,,
,N-229,,C53,P130,,,,,,,,,,,
,N-230,,C53,,,,,,,,,,,,
,N-231,,C55,P132,,,,,,,,,,,
,N-232,,C54,P133,,,,,,,,,,,
,N-233,,C55,P134,,,,,,,,,,,
,N-234,,C55,P135,,,,,,,,,,,
,N-235,,C3,P136,,,,,,,,,,,
